null,References,Value,Footprint,Quantity,
1,"C1, C3, C5, C11, C15, C20, C21, C22, C23, C24, C25, C28, C29, C33, C35, C36",100nF,C_0603,16,
2,"C2, C4, C8, C9, C30, C31, C32, C37, C38",1uF,C_0603,9,
3,"C10, C12, C13, C14, C34, C39, C40",10uF,C_0603,7,
4,"C26, C27",10pF,C_0603,2,
5,C6,470uF/50V,CP_Elec_8x10.5,1,
6,C7,100uF,CP_Elec_6.3x7.7,1,
7,"R2, R3, R5, R13, R19, R25, R26, R27, R31, R41, R42",10K,R_0603,11,
8,"R1, R4, R30, R40, R44",10R,R_0603,5,
9,"R7, R12, R20, R21, R47",1K,R_0603,5,
10,"R16, R37, R43",100R,R_0603,3,
11,"R14, R15",1K2,R_0603,2,
12,"R17, R45",560K,R_0603,2,
13,"R18, R46",100K,R_0603,2,
14,"R28, R29",5K1,R_0603,2,
15,R6,24K,R_0603,1,https://www.thegioiic.com/dien-tro-24-kohm-0603-5-
16,R8,100R/DNP,R_0805,1,
17,R9,3K9/24K,R_0603,1,https://www.thegioiic.com/dien-tro-3-9-kohm-0603-5-
18,R10,100R/1K,R_0603,1,
19,R11,24K/10K,R_0603,1,
20,R35,100R/2K,R_0603,1,https://www.thegioiic.com/dien-tro-2-kohm-0603-1-
21,R36,8K2/DNP,R_0603,1,https://www.thegioiic.com/dien-tro-8-2-kohm-0603-1-
22,R48,20K,R_0603,1,
23,R49,2K7,R_0603,1,
24,L1,68uH,L_12x12mm_H8mm,1,
25,L2,2.2uH,L_Bourns_SRN6045TA,1,
26,L4,2.2nH,L_0603,1,
27,L5,22uH,L_Bourns_SRN6045TA,1,
28,"D2, D5",SS34,D_SMA,2,
29,D1,Z3V3,D_MiniMELF,1,https://www.thegioiic.com/zmm3v3-diode-zener-3-3v-500mw-smd
30,D3,LED_Dual_AKAK,LED_HOUSING_LH32K051F,1,
31,D4,Z12V,D_MiniMELF,1,
32,U1,RAK3172,RAK3172,1,
33,U2,LM358,SOIC-8,1,https://www.thegioiic.com/mcp6002-i-sn-ic-opamp-general-purpose-amplifier-2-circuit-1mhz-8-soic
34,U3,BQ24075RGT,VQFN-16_3x3_PAD-VIAS,1,
35,U4,XL1509-5.0,SOIC-8,1,
36,U5,TPS63000,DRC-0010J,1,
37,U9,ESP32-C3,QFN-32_5x5_PAD-VIAS,1,
38,U10,USBLC6-2SC6,SOT23-6,1,
39,U11,TL431DBZ,SOT23-3,1,https://www.thegioiic.com/tl431-ic-tham-chieu-dien-ap-2-5-36v-sot-23
40,U12,DW01A,SOT23-6,1,
41,U13,FS8205A,TSSOP-8_4.4x3mm_P0.65mm,1,
42,U14,MT3608,SOT23-6,1,
43,Y1,40MHz,Crystal_3225_4P_1-4,1,
44,SW1,RAK-RESET,Switch_Tactile_6x6_Horizontal,1,
45,SW2,ESP-RESET,SW_SPST_CK,1,
46,SW3,ESP-BOOT,SW_SPST_CK,1,
47,SW4,USER_BTN,Switch_Tactile_6x6_Horizontal,1,
48,"Q1, Q4",SI2300,SOT23-3,2,
49,"Q2, Q5",SI2301,SOT23-3,2,
50,"RV1, RV2",10K,Potentiometer_Bourns_3296W_Vertical,2,https://www.thegioiic.com/3296w-103-bien-tro-10-kohm-3-chan-chinh-top-0-5w
51,AE1,2.4GHz,Texas_SWRA117D_2.4GHz_Right,1,
52,BT2,Battery_18650,XH_2P_2.54mm_Vertical,1,
53,Q3,APM4015P,TO-252-2,1,
54,J1,RAK_DEBUG,PinHeader_2x04_P2.54mm_Vertical,1,
55,J2,CONN_ANALOG,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",1,
56,J3,CONN_PWRIN,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",1,
57,J4,CONN_ESP_PROG,XH_6P_2.54mm_Vertical,1,
58,J5,USB_C_Receptacle_USB2.0_16P,USB-C_SMD_1,1,
